"Data Source","World Development Indicators",

"Last Updated Date","2017-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Mexico","MEX","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","56500","49600","64800","91200","101600","112100","115300","111900","115200","129300","177100","151800","144800","202300","200700","204600","187100","189000","141400","152200","177300","189300","228400","246600","272100","225100","222700","264100","292100","328300","290412","292208","278456","287017","330441","331225","317856","309633","266244","222356","445796.033023162","386063.994109534","415279.822989187","435792.09","457921.907","508614","555984",
"Marshall Islands","MHL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","2600","2800","3300","3300","5500","5500","8800","8300","4600","3900","3600","3700","2324","2744","3876","3911","3683","3083","3573","3508","3510","3480","","","","","","","",
"Middle income","MIC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","1471200","1574400","1670000","1677400","1722100","1867400","1932900","1942200","2054800","2210500","2348600","2346100","2395200","2495200","2555100","2574900","2634300","2618200","2787100","3764600","3866300","3918800","4039900","4171000","4151600","4302800","4279335","4748954","4638474","4557660","5209634","5526934","6033010","6626895","6763550","7161652","8878775.02826945","9570455.63586267","10095143.1396592","10822031.1363087","11711836.1055376","12371573.6748646","12985401.4378127",
"Macedonia, FYR","MKD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3200","3400","3500","4900","3900","7600","6400","8047","4673","1964","2263","2398","2277","2368","2605","2813","1389","","","","","","","",
"Mali","MLI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","3600","2800","2700","2600","2600","2600","2900","3100","3100","3700","3800","3600","3800","3600","3400","3100","1700","100","","","","","1100","1300","1300","1300","1500","1500","1500","1500","1518","716","","","","","","","","","4656","5580","2753","360","0","0","",
"Malta","MLT","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","2400","1900","1500","1700","2100","2400","2400","2500","3400","3600","4300","4600","4800","4400","4000","4000","4500","4700","5300","6000","6600","6800","7500","9500","11300","12800","13600","13400","12700","14100","15394","15056","14594","14390","14356","14768","15359","16895","17334","18362","16828","14891","13845","14257","14022","13639","12305",
"Myanmar","MMR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","21700","22500","22900","23500","17900","17100","17200","17400","17400","18500","19400","19500","21500","22300","21700","22500","22500","22500","22600","13800","13800","13800","13800","13800","13800","14500","14500","14500","14700","11300","10329","9709","20624","20611","24729","26460","28700","29235","29514","28499","20485","32354","37798.8298164773","38028","49599","51651.76","60627.439",
"Middle East & North Africa (excluding high income)","MNA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","105400","112300","121700","139000","154700","165800","191100","197100","203000","189400","185000","184200","187400","213000","210200","199700","211900","208800","220900","225700","223400","211300","218800","224500","233400","229500","249200","277600","271000","271700","296322","356337","297723","340925","333384","360734","391697","412178","382907","419054","556612.177222359","530059.433902329","511465.28530907","556102.5","571311.141616393","531253.95656493","555842.118879242",
"Montenegro","MNE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2411","","4978","4974","5560","","","","","10064.0086862106","7707","7485","7164","6492","6864","6843",
"Mongolia","MNG","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9800","17900","10000","10000","10500","10500","4900","4900","2200","6200","5947","6264","7358","6702","5332","6169","6158","5592","4783","6528","7194.25844122874","9611.02826134262","4212","5705.56146973701","5231","6008.62087015646",
"Northern Mariana Islands","MNP","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","4600","8000","4300","5300","5500","6100","5400","5500","6200","4500","2500","2900","3300","4700","4900","5600","5100","4400","3700","3800","3200","3800","4600","5000","5900","6698","7257","7501","7662","8585","9768","10490","10791","10943","11260","13705","12957","13263.2514684884","19596","19763.5996807786","18923.6448445317","15911",
"Mauritania","MRT","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","5600","4800","4600","4000","3900","4200","4400","4700","4700","4800","4900","4800","4900","4900","4000","4100","4400","4100","4200","4200","3600","4300","4200","4400","4400","4600","4800","4900","4900","3600","3761","2230","1510","1612","1686","1720","1725","1833","1159","1114","6373","4235","3077","3984","4044","4277.02293640869","4307.857",
"Mauritius","MUS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","300","300","300","300","400","400","400","1300","1400","4200","5300","5000","5100","5400","6000","6400","6500","5800","5900","6400","8400","7700","7700","8000","8200","8900","9400","11000","11000","10700","12162","12269","12720","12969","14791","14743","13692","12090","11742","11144","11750","12353","12258","12079","12131","12646","13614",
"Malawi","MWI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","3800","4400","4400","4300","4300","5000","3900","4900","4700","4200","3300","3500","4500","3700","6000","5700","4400","3000","1600","3500","3600","4000","3800","3300","3400","3500","3500","3600","3600","4400","4806","4708","4620","4940","5290","5446","5528","5888","4416","4376","3340.39012345679","3172","3201.16692164608","1644","1644","1687.02","1818.638",
"Malaysia","MYS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","27700","31300","38600","63400","70700","72800","73700","71000","71900","75100","88600","97800","95800","95100","95100","94700","94100","101400","109400","111900","130500","145800","164800","164500","175000","178200","188300","194100","174000","164800","169263","169840","189382","166716","170054","176152","163665","185052","176549","182002","302185.222466875","336401","343382","430334.457756879","443318.55","463739.445","447000.21314223",
"North America","NAC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","5404400","5291700","5276600","5407100","5022300","4939900","5043400","5143900","5206200","5399500","5344700","5011900","4916100","5136200","5549800","5905800","6449000","6731800","7009400","6892300","7195400","6881700","6836800","6671500","7503500","7965000","8337600","8253700","8142200","8831000","9784346","9517253","8302667","8825200","10554981","10988079","10781083","11004451","10254839","10380744","11329725.619256","11303511.6157971","11144558.1855771","11008795.3368634","10846743","10818502","10991206.7165414",
"Namibia","NAM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8100","9400","6300","6300","6800","7200","7400","7500","5500","5161","5131","5080","6034","6137","6455","6513","6942","5450","5439","8836","9400","11711","8568","9197","10606","11759",
"New Caledonia","NCL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","2900","2900","2600","2700","2700","2700","2900","2800","2900","2900","3100","3000","2500","2500","2400","1100","2300","2200","2300","1100","500","1200","1100","1300","1300","1300","1500","1500","1500","1500","1518","716","","","","","","","","","0","0","1416","1044","407","469","470.876",
"Nigeria","NGA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","9400","11700","14500","16900","17200","19200","24900","30800","33500","35400","39100","37800","26700","28600","27700","37500","32600","30100","19700","15900","17400","14900","12500","11900","11200","6600","5600","6400","7500","8400","12761","10667","13154","8987","8254","10227","16045","16936","18005","16851","61789","68014.2763449768","65631.5070737067","59182","61512.4529493388","64126.6","61700.9227728177",
"Nicaragua","NIC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4400","4700","5000","10100","10100","10500","9800","5900","5900","5900","4200","3600","1800","1900","2200","2300","2000","2000","2000","3600","3900","3900","4200","600","700","800","800","800","800","500","452","","","","","","","","","","","","","","","","",
"Netherlands","NLD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","84200","84800","85900","87500","88700","85100","85300","89100","93300","93100","93800","91700","97000","96000","94600","98700","102600","118100","121700","122200","115000","130500","173200","189800","176800","203100","206000","185700","188200","224400","229386","222539","250114","248246","254647","241084","250811","259827","262848","291713","268542.005768021","293885.839797724","307221","312910","304795","305540.995","316956.142",
"Norway","NOR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","83600","96500","110700","120900","126900","137700","141700","149700","150000","167800","171100","158800","161100","169400","177100","190500","229900","233300","222600","221400","233500","228000","253700","249800","259200","266500","279500","301500","305100","334500","320753","306511","270045","248403","254045","","","","","","","","","","","","",
"Nepal","NPL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","11800","11500","11400","12000","12000","11800","12200","12300","12900","16800","17600","17000","16900","16600","19500","20300","20300","16600","24000","25800","25800","23000","22300","21800","25900","27200","28400","28400","28600","12000","12130","12306","4324","4912","5846","6255","6920","6918","6952","6804","45990","44126","34745","30612","19560","19394.7","24062.76",
"Nauru","NRU","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1998","342","399","116","96","612","706.86","862.369",
"New Zealand","NZL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","83600","86600","90600","96900","103700","103400","98100","89100","90200","91500","87700","78000","75000","78600","90500","96200","93100","98700","111500","126500","128300","109200","122900","123600","125800","127600","187400","256800","236100","227500","240046","266139","242720","247388","196657","209469","220990","219243","220375","217178","207872","206937","203388","203520","189722","183935.994705229","178594.146",
"OECD members","OED","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","7987400","8124100","8127700","8293600","7708100","7551400","7743700","8084700","8288900","8586600","8561300","8094200","8022600","8337500","8825700","9311200","10020000","10505800","11025900","11164100","11703100","11379700","11770000","11835700","12946300","13622700","14440800","14931400","15089700","16157900","17390641","17159447","15841490","16389412","18209070","18512296","18600805","19114860","18451851","18408888","20070584.6017514","20167782.300199","20015121.4529007","19986592.3904916","19981748.0046493","20315082.4541294","20908714.4410885",
"Oman","OMN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","4700","5400","6200","6300","7200","8300","9500","10000","8700","9500","10100","10500","9600","10200","10800","11400","12300","11400","14400","16200","18800","15700","17900","17500","16300","22200","22322","23213","23168","27751","31871","","","","","25542","32850","35560","39638","46816","47126","56544","61416",
"Other small states","OSS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108600","111900","120400","128300","126600","136200","148200","153600","158900","171600","177400","180500.000976563","","","","","","","","","","","304617.026412691","319463.077888503","358016.442302092","356192","","427248.119522967","472745.501",
"Pakistan","PAK","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","44300","34000","23600","24300","26700","32000","37300","39900","43100","45000","45300","40600","41200","43800","45100","48200","52000","53800","60700","62500","66100","65700","69700","70300","69200","69400","70000","73300","68600","74400","63956","52616","41917","44731","50309","48905","51296","51029","52165","50939","64932","72695","72232","61820","57956","65749.572","70005",
"Panama","PAN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","16000","16400","16700","11500","11500","9300","10900","11700","10600","11300","8700","6500","9700","6800","6800","6900","7000","7000","7200","6900","5400","5500","7500","9500","10700","16400","16600","17800","21700","21200","25225","24867","21883","25702","27434","30392","33003","40645","46292","66236","73316.7503951154","79391","82753","135428","132689.724774874","137954.435166192","143127.054",
"Peru","PER","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","16500","11800","15300","15300","28900","29300","30900","31200","30300","29900","32100","31700","32200","32400","29900","28800","32100","35600","33600","26000","22100","21500","21200","25000","30600","37300","35200","43200","44800","37300","29387","44487","37482","36947","46917","60819","56072","61958","67840","65885","84408.1153236815","100131","106167","115817.396352206","117800","129786.404","129880.476",
"Philippines","PHL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","95100","69000","65300","66900","62700","67800","70000","63400","58000","61700","48900","48300","51100","56800","57000","57700","62900","67400","71200","74200","70100","63200","65100","60800","61600","64000","64700","65500","61800","40300","44547","60511","57193","56235","56647","58944","61712","65212","72333","87028","205318","225789.683645565","241698.559028508","200532","287460","325858.757","345772.8970946",
"Palau","PLW","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","18800","18900","18100","20400","20300","19200","19100","19400","18300","55400","53900","57300","64700","69500","71400","62400","56700","53200","24700","57800","26800","26800","29300","29600","27100","27512","29826","31147","17704","18712","19606","21935","21700","21751","21450","32741","36364.3197806363","37309.857693979","30012","34068","33260.604","31744.825",
"Poland","POL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","29500","29400","32100","35200","30800","36900","38200","41000","41500","42700","42700","34100","16400","25800","28800","28400","30700","30200","28900","31500","28600","19600","22400","27600","30500","32100","35900","38300","38400","43800","52371","71799","69842","73137","77690","78992","83451","89289","90031","83053","82630","82052","81194","83336","77094","68326.47","82596",
"Pre-demographic dividend","PRE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","142500","144200","139200","140600","137800","171200","192600","182200","195900","211400","217900","216700","194700","205800","194500","194600","177600","172100","165000","151800","148400","131500","122600","122400","127000","114800","117300","121400","120000","128400","134784","121438","","","","","","","","","304105.790601217","338788.542699401","335276.118428977","368447.772","355316.603990131","363831.067929316","346336.045372818",
"Puerto Rico","PRI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","7600","9100","","","","","","4900","4900","5500","5700","5600","5600","5400","5400","5500","5400","5500","5800","5800","5800","5800","6100","6100","6100","6400","6400","6900","1000","1300","1332","1305","1396","1354","1652","1768","1839","1949","1986","1865","725","732","890","3576","498.340248962656","483","522.122922917332",
"Portugal","PRT","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","47600","53500","58100","65100","66400","32800","28200","29200","30800","31400","33500","34100","35100","35300","33900","31000","31700","34600","39500","40300","45000","47000","59900","63300","65900","71600","80500","94700","97600","117200","112462","96049","112324","117404","127025","148604","119668","138093","159135","123551","111961.407853906","129004","131870","158096","157702","160003","154447.6",
"Paraguay","PRY","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4400","4500","4100","4100","4100","4100","4200","5700","5800","5900","6300","5900","5900","6000","6400","6600","7300","7800","6400","6200","6100","7300","7400","13600","6800","900","10200","4200","4400","8000","7556","8173","8497","8557","9104","10059","9807","10351","10522","9758","6459","6873.73284970825","6594","6408","5496","4116","3864",
"West Bank and Gaza","PSE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pacific island small states","PSS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","32500","32200","35000","32300","33100","35900","45500","45600","45400","45400","51700","44600","52800","60700","65400","111300","121400","89300","87674","95413","72759","67062","69538","70306","78717","77907","78100","78761","51069","36808.2522848901","34691.9841711748","35340","51276","55485.104","58321.578",
"Post-demographic dividend","PST","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","7862000","7996500","7982800","8109600","7522800","7372300","7562100","7898000","8100600","8387000","8328300","7901900","7878500","8142800","8615800","9092400","9831200","10310800","10835900","10937400","11438000","11229100","11615900","11684200","12761400","13485000","14270600","14686400","14791900","15678400","16933507","16714073","15385330","15869640","17597666","17835747","17868984","18271239","17590453","17494249","18825974.832211","18920390.9777659","18681652.670384","18593551.0638634","18515193.9872495","18685066.3732314","19128180.2363156",
"French Polynesia","PYF","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","4700","5400","6200","6300","7200","8300","9500","10000","8700","9500","10100","10500","9600","8800","9400","10000","10900","10000","12900","14700","15200","13400","15400","14400","12300","22600","26652","27049","34364","28370","34931","45964","53327","62689","68818","77178","90819","109525","128402","139869","151703","170582","200927",
"Romania","ROU","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","6600","6600","6900","8400","13600","13200","15900","22000","17900","18100","18200","12500","17100","18700","22100","23000","24600","23700","23000","24100","22000","20200","16100","18100","21300","22200","17100","25600","15400","17900","23298","20781","17748","26844","30524","38995","42754","51222","55386","57893","61515","57823","51685","43956","42249.8","45573","46733",
"Russian Federation","RUS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","815400","683400","586300","464700","395300","280500","321400","314621","329935","345262","350963","398958","390824","421170","467670","522577","475261","523759","596042","636748","678071","747804","767043","746446",
"Rwanda","RWA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","1000","3500","3500","3400","3500","900","1900","900","700","500","1500","500","500","500","","","","","","","","","","","","","","","","5867","7265","10410","11532","12096","3205","4313.933",
"South Asia","SAS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","162000","120100","140800","150700","129200","158000","166600","175000","183600","184000","185200","184400","187700","199800","209400","235900","250800","257800","268700","272600","245300","234900","242700","228400","257300","298700","284100","314700","323400","291800","296548","294067","299963","338691","391577","419742","548761","666865","691007","700428","799070.004661475","894201.031775018","864800.192205104","900742.4","966479.12","1026249.92704192","1173973.611",
"Saudi Arabia","SAU","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","25200","26400","26000","25000","29500","35500","47700","64800","74500","84100","94400","100400","99000","101400","103700","100500","95500","91000","92700","89900","92700","79000","95100","100000","102500","98100","100700","100300","101100","106900","108981","107984","108598","108322","113329","116280","131528","150521","148335","156500","177608","193536","208986","216636","232908","232960.263054187","253245.384452033",
"Sudan","SDN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","9300","9500","9100","9100","9200","9200","9800","10300","10500","10600","10400","7800","7800","9000","9200","7900","5100","6400","5500","8000","9100","6800","8400","10000","10600","9300","9800","5500","4400","7500","7753","7562","7523","7849","8435","8695","8839","9418","7219","7178","10897","16727.0882365286","13525.4963291617","9432","6852","6020.52591487674","3164.922",
"Senegal","SEN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4100","4200","4000","4100","4100","4200","4500","4400","4500","4500","5800","5600","5800","6000","6100","6200","3800","3700","3800","3800","3500","4200","4100","4300","4300","4500","4700","4800","3600","2400","2415","2606","6471","2396","6166","6441","0","","","0","0","5251","7730","5808","4044","3655.28545345381","582.636",
"Singapore","SGP","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","27700","31300","30300","21300","22800","23800","25700","27500","30300","32800","32500","29900","29900","34600","29800","31100","31600","32900","34900","32000","30500","35000","39100","43100","46100","51600","57200","60700","61700","68400","71042","72431","72444","64117","76253","77119","84747","87564","91387","83772","131721.915559326","144696.875455373","157939.317765257","165239.07","183398.557600256","181562.891101998","188575.953",
"Solomon Islands","SLB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","8500","9200","10000","9600","10700","10900","10700","11100","11100","11100","11100","11100","11100","3800","4000","10400","10800","10800","11000","12500","11481","12496","13011","9745","11512","12318","13883","13640","13649","13529","7388","7048.95461126849","6659.69835873915","11352","11532","13107.06","13710.927",
"Sierra Leone","SLE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","1900","3000","3100","3100","3100","3200","600","600","600","3100","3100","3100","1900","1500","700","500","","100","100","200","200","200","0","0","","202","139","138","138","156","164","171","183","181","186","0","2085","2145","","","","",
"El Salvador","SLV","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","8800","9400","8700","8800","9000","9200","9500","12000","11900","8700","8100","8100","9000","8300","9200","9400","9700","9500","9400","9600","10700","12400","14600","15500","18800","20000","20900","19100","19400","32000","37098","26059","19407","22063","23660","23964","24879","22465","21056","19339","20961.2770874618","24699","26622","29114","31662","28671","28670",
"San Marino","SMR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","1900","2500","2600","2700","2800","2800","2800","2700","2800","2800","3000","2600","2200","2300","2600","2400","2700","2800","2500","1600","1600","900","","","","","","","","","","","","","","","","","","","2716.90992767916","2815","2791","3540","3444","","98",
"Serbia","SRB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000","19935","17205","19729","17048","19664","19971","19568","17208","16893","17303","16841","18156","28944","31304","31958",
"Sub-Saharan Africa (excluding high income)","SSA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","220000","228000","224700","228200","220100","253200","279800","260600","274000","299000","319400","332600","317200","323100","316800","321700","288600","291800","285800","296600","301300","305600","296300","289100","290100","264900","276400","319700","313400","319300","335069","328777","297804","319863","337379","360846","358736","400752","354861","361975","578696.620019651","624597.444494206","649833.249725437","689280.772","665781.126803799","699173.359240456","706060.197003088",
"South Sudan","SSD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa","SSF","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","220000","228000","224700","228200","220100","253200","281800","262600","276000","301000","321400","334600","323400","329300","326600","334200","304800","306600","300500","311500","317100","321900","302300","302700","303500","278900","293600","337600","332300","337800","354035","349026","320253","338510","356660","380427","378262","421479","366757","373213","591685.620019651","638799.444494206","661095.249725437","703872.772","680337.126803799","716297.359240456","725238.197003088",
"Small states","SST","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","158000","183100","186700","218200","233700","249500","275400","278600","276100","287100","289300","292100","310900","312600","320100","345800","363800","361500","395800","413100","417900.000976563","411009","429522","","","","","","","","","481986.026412691","503746.768596442","563734.052783548","590169","697384","730505.916522967","782087.01874",
"Sao Tome and Principe","STP","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","300","300","700","700","700","700","700","700","700","700","700","700","800","800","1100","1135","1135","1128","1170","1267","1310","1337","1426","1142","1143","","","","","","","",
"Suriname","SUR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","1400","1400","2800","3100","3100","3100","2600","2600","2800","2800","800","700","2200","2100","2100","2700","3000","3600","3100","2600","3800","6200","6300","6800","2169","1920","1714","4402","4620","4851","4908","5022","4900","4560","1925","1914.76063829787","2417.51329787234","3420","2796","2995","3112",
"Slovak Republic","SVK","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800","1600","2400","3200","3500","5100","5700","2421","1817","4215","6845","12663","13914","14521","23997","24044","32020","2702","990","1439","1824","721.068","70","85",
"Slovenia","SVN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3900","6700","6900","7800","8000","8600","9900","10900","12082","13220","14881","16402","17310","18071","19505","23165","24477","25478","21840","21370","18141","17212","16557","17931","17825",
"Sweden","SWE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","92000","99100","104200","102700","103900","98800","113800","100800","99800","103700","117100","123400","127700","140100","152000","150300","173100","180200","189700","203000","208000","178100","186700","183200","195100","170600","183500","207400","223400","236300","247707","233803","198291","183532","190315","","","","","","","","","","","","",
"Swaziland","SWZ","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","600","600","600","600","700","700","500","600","1300","1000","1300","1500","1600","1900","1800","1400","1300","1400","1500","1900","1600","1800","2700","2700","2000","2000","2500","2586","","","","","","","","","","","","","","","","",
"Sint Maarten (Dutch part)","SXM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","2000","2000","2000","2000","2000","2000","6200","6200","9800","12500","16200","14800","14700","14900","15800","16300","6000","13600","13400","14000","17200","17900","18900","18500","18966","20249","22449","18647","19281","19581","19526","20727","11896","11238","12989","14202","11262","14592","14556","17124","19178",
"Syrian Arab Republic","SYR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4200","4300","5400","4500","7600","6800","8300","8800","8600","7900","7600","8900","8400","8200","6800","5500","7000","7300","6500","9600","11200","12900","9700","8400","8800","8900","9000","10700","9100","11200","13959","13580","12975","13953","16325","16815","17082","18909","18960","19229","12699","15455.407623056","9670.3235106534","5424","5424","168","170.194757575758",
"Turks and Caicos Islands","TCA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4000","4100","3900","4000","3800","4000","4200","4200","4300","4400","4500","2400","2600","2600","2000","2100","2100","1600","1700","1700","1200","1800","1700","1900","1900","2000","2100","1800","1800","1500","1518","716","","","","","","","","","699.531448355453","984","664","72","72","","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","305900","335000","352000","350600","359600","405400","414800","454700","473200","484100","586000","598800","632200","694300","759600","735000","798300","817600","883800","903900","1033000","1132000","1297800","1216800","1240700","1148500","1214474","1521532","1613668","1584801","2066109","2217764","2452518","2700805","2796487","3093117","3844008.02667228","4195951.46318126","4536353.00081976","4864727.3179955","5436093.35151098","5850142.69953697","6344041.13510699",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1061500","961000","898200","771400","691600","583200","660600","677777","725169","713991","759539","827774","856265","931341","1002485","1109461","1114171","1289975.22735896","1437239.38610583","1524519.82022895","1671542.50323624","1798548.52","1894753.404","1946111.88885714",
